date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
15-May-20,"The Governor, together with New Jersey Governor Murphy, Connecticut Governor Lamont, and Delaware Governor Carney, announced a multi-state agreement to reopen public and private beaches with certain restrictions in place on May 22.",,Y,,,,,,,,,
15-May-20,The Governor announced five regions will begin reopening after successfully meeting all seven-metrics required for reopening.,,Y,,,,,,,,,
16-May-20,The Governor announced horse racing tracks across the state and Watkins Glen International Racetrack will be allowed to reopen without fans as of June 1.,,Y,,,,,,,,,
16-May-20,The Governor announced Westchester and Suffolk Counties are now eligible to resume elective surgeries and ambulatory care.,,Y,,,,,,,,,
17-May-20,"The Governor announced the state doubled testing capacity to reach 40,000 diagnostic tests per day and expanded eligibility to include:Any individual who has COVID-19 symptoms;Any individual who has had contact with a person known to be positive with COVID-19;Any individual who is subject to a precautionary or mandatory quarantine;Any individual who is employed as a health care worker, nursing home worker or first responder;Any individual who would return to the workplace in phase one of the states reopening plan; andAny essential worker who directly interacts with the public while working.",,,,Y,,,,,,,
17-May-20,The Governor launched a website where New Yorkers can easily find the nearest COVID-19 testing sites.,,,,,,,,,,,Y
17-May-20,The Governor announced a partnership with CVS to bring testing to more than 60 CVS pharmacies across the state. Each site has the capacity to conduct 50 or more tests per day.,,,,Y,,,,,,,
17-May-20,"The Governor announced that the state has delivered over three million free bottles of NYS Clean hand sanitizer to date, including:More than 275,000 bottles to the Metro Transit Authority;188,492 bottles to the New York City Housing Authority;More than 117,000 bottles to food banks;32,512 bottles to farms via the Cornell Cooperative Extension; and24,060 bottles to the Boards of Cooperative Educational Services.",,,,,,,,,,,Y
18-May-20,"The Governor announced that Western New York has met all seven-metrics required to begin reopening, joining the Central New York, North Country, Finger Lakes, Southern Tier and Mohawk Valley Regions.",,Y,,,,,,,,,
18-May-20,The Governor announced that the State Department of Health granted Erie County Medical Center a waiver to restart elective procedures.,,Y,,,,,,,,,
18-May-20,"The Governor announced new efforts to connect nursing home facilities with labs to increase testing in these facilities.The labs have reserved at least 35,000 tests per day to help meet new guidelines that requires adult care facilities to test all personnel twice a week.",,,,Y,,,,,,,
19-May-20,The Governor announced the Capital Region has met all seven-metrics required to begin phase one of the states regional phased reopening plan starting May 20.,,Y,,,,,,,,,
19-May-20,The Governor announced Nassau County is eligible to resume elective surgeries and ambulatory care.,,Y,,,,,,,,,
19-May-20,The Governor announced a collaboration with the Greater New York Hospital Association and the Healthcare Association of New York State to implement a two-week hospital visitation pilot program in 16 hospitals across the state to allow increased visitations for family members and loved ones.,,,,,,Y,,,,,
19-May-20,"The Governor announced the state will allow Memorial Day ceremonies of 10 people or less, with final decisions about ceremonies being left to local governments.",,,Y,,,,,,,,
19-May-20,The Governor called on the FDA to take steps now to ensure pharmaceutical corporations that produce a COVID-19 vaccine release the rights to the vaccine to provide for immediate widespread distribution to make the vaccine available to all individuals.,,,,,,Y,,,,,
20-May-20,The Secretary to the Governor announced the creation of a task force to find innovative solutions to the domestic violence crisis.,,,,,,,,,,,Y
20-May-20,"The Governor announced the results of the states antibody testing survey at churches in lower-income communities and communities of color, which show 27 percent of individuals tested positive for COVID-19 antibodies, compared with 19.9 percent of New York Citys overall population.",,,,Y,,,,,,,
20-May-20,The Governor announced the state will continue its partnership with Ready Responders to expand testing from 8 to 40 public housing developments across New York City.,,,,Y,,,,,,,
20-May-20,"The Governor announced that beginning May 21, religious gatherings of no more than 10 people will be allowed to gather statewide.",,Y,,,,,,,,,
21-May-20,The Governor announced summer school will be conducted through distance learning this year to help reduce the risk of spread. Meal programs and childcare services for essential employees will continue.,Y,,,,Y,,,,,,
21-May-20,The Governor issued an executive order continuing temporary suspension and modification of laws relating to the disaster emergency.,,,,,,,,,,,Y
22-May-20,"The Governor announced the launch of the $100 million New York Forward Loan Fund to provide flexible and affordable loans to help small businesses, focusing on minority and women owned small businesses that did not receive federal COVID-19 assistance.",,,,,,,,,,,Y
25-May-20,The Governor announced that state and local governments will provide death benefits for frontline workers who died from COVID-19.,,,,,,,,,,,Y
26-May-20,The Governor announced the winners of the Wear a Mask New York Ad Contest  We Heart New York and You Can Still Smile  with both winning videos running as public service announcements.,,,,,,,,,,,Y
26-May-20,The Governor announced the Mid-Hudson Region has met all seven metrics to begin phase one of reopening.,,Y,,,,,,,,,
26-May-20,The Governor announced they will meet with President Trump on May 27 in Washington D.C. to discuss infrastructure projects that need federal approval to help supercharge the economy.,,,,,,,,,,,Y
26-May-20,The Governor announced the state will fast-track the construction of the new Empire Station at Penn and new LaGuardia Airport while rail ridership and air traffic is down.,,,,,,,,,,,Y
26-May-20,The Governor announced the state is continuing to direct resources and focus targeted efforts on reducing the spread in lower-income and predominately minority neighborhoods in New York City.,,,,,,,,,,,Y
28-May-20,The Governor issued an executive order authorizing businesses to deny entry to individuals who do not wear masks or face coverings.,,,,,,,,,,,Y
28-May-20,"The Governor announced a partnership with Rosie Perez and Chris Rock, who will assist New York with building communication and education on the importance of wearing a mask and social distancing and the availability of testing and healthcare in the state.",,,,,,,,,,,Y
28-May-20,The Governor announced the state will distribute 1 million masks to New York Citys hardest-hit neighborhoods.,,,,,,,,,,,Y
28-May-20,The Governor announced the Metropolitan Transit Authority will pilot the use of proven UV light technology to kill COVID-19 in subway cars and crew facilities.,,,,,,,,,,,Y
29-May-20,The Governor announced New York City will enter Phase 1 of reopening on June 8 and that five other regions can enter Phase 2 of reopening.,,Y,,,,,,,,,
29-May-20,"The Governor announced the implementation of an early warning dashboard that aggregates the states expansive data collection efforts for New Yorkers, government officials, and experts to monitor and review how the virus is being contained on an ongoing basis.",,,,,,,,,,,Y
29-May-20,The Governor issued an executive order authorizing business operators and building owners to use their discretion to deny admittance to individuals who fail to comply with the requirement to wear face coverings.,,,,,,,,,,,Y
29-May-20,The Governor issued an executive order lifting reductions and restrictions on the in-person workforce at non-essential businesses designated as Phase 2 industries in those regions that have been authorized to advance to Phase 2.,,Y,,,,,,,,,
30-May-20,"The Governor signed into law S.8427/A.10528, a bill that establishes a COVID-19 death benefit for the families of state and local government employees that have been on the front lines of this public health emergency.",,,,,,,,,,,Y
30-May-20,The Governor announced the state will open 10 additional testing sites  one for each zip code  in New York City COVID hotspots.,,,,Y,,,,,,,
31-May-20,The Governor announced that New York dentists can reopen statewide beginning June 1.,,Y,,,,,,,,,
1-Jun-20,The Governor announced Western New York is expected to enter Phase 2 of reopening on June 2 and the Capital Region is expected to enter Phase 2 of reopening on June 3.,,Y,,,,,,,,,
2-Jun-20,"The Governor announced Western New York entered phase two of reopening, with the Capital Region on track to enter phase two on June 3.",,Y,,,,,,,,,
2-Jun-20,The Governor announced summer camps statewide can open on June 29.,,Y,,,,,,,,,
2-Jun-20,"The Governor issued an executive order allowing low-risk, outdoor recreational activities and business providing such activities to open in regions that have met the public health and safety metrics required for phase one.",,Y,,,,,,,,,
3-Jun-20,The Governor announced outdoor dining at restaurants will be permitted in phase two of reopening.,,Y,,,,,,,,,
3-Jun-20,The Governor announced Erie County is now eligible to resume elective surgeries and ambulatory care.,,Y,,,,,,,,,
4-Jun-20,The Governor announced the state is expanding COVID-19 testing criteria to include any individual who attended any of the recentprotests across the state.,,,,Y,,,,,,,
5-Jun-20,The Governor announced the state has reached the lowest number ofdeaths andhospitalizations since the COVID-19 pandemic began.,,,,,,,,,,,Y
6-Jun-20,The Governor signed legislation banning price gouging of personal protective equipment.,,,,,,,,,,,Y
7-Jun-20,The Governor signed legislation extending the deadline to submit absentee ballots until the day of the election.,,,,,,,,,,,Y
7-Jun-20,"The Governor announced outdoor, socially distanced graduations of up to 150 people will be allowed beginning June 26.",,Y,,,,,,,,,
8-Jun-20,The Governor announced the MTA is accelerating construction on $2 billion in capital projects during this period of reduced ridership caused by the pandemic.,,,,,,,,,,,Y
8-Jun-20,"The Governor announced that as New York City enters phase one of reopening, the city is now eligible to resume elective surgeries and ambulatory care. He also the announced the state is opening 14 new temporary testing sites at churches located in communities particularly impacted by the pandemic.",,Y,,,,,,,,,
8-Jun-20,The Governor signed legislation authorizing local governments to extend the deadline for filing property tax abatements to July 15.,,,,,,,,,,,Y
9-Jun-20,The Governor announced Long Island will proceed to phase two of reopening on June 10.,,Y,,,,,,,,,
9-Jun-20,The Governor announced the Mid-Hudson Valley entered phase two of reopening.,,Y,,,,,,,,,
9-Jun-20,The Governor unveiled a daily testing results dashboard to complement the early warning dashboard for New Yorkers and local governments to easily track daily test results by region and county as all regions in the state are now reopening.,,,,Y,,,,,,,
9-Jun-20,The Governor announced the state has established 11 testing sites in hardest hit communities.,,,,Y,,,,,,,
9-Jun-20,"The Governor announced the state delivered 500,000 masks, as well as 10,000 gallons and 100,000 2-oz. bottles of hand sanitizer to Metro North.",,,,,Y,,,,,,
9-Jun-20,The Governor announced the state has distributed over four million free bottles of NYS Clean hand sanitizer statewide to date.,,,,,,,,,,,Y
11-Jun-20,"The Governor announced that five regions  Central New York, Finger Lakes, Mohawk Valley, North Country and Southern Tier  will enter phase three of reopening on June 12.",,Y,,,,,,,,,
11-Jun-20,The Governor announced the state is allowing localities to open public pools and playgrounds at their discretion while following state guidance beginning June 11.,,,Y,,,,,,,,
11-Jun-20,The Governor announced he accepted in full the recommendations by the COVID-19 Domestic Violence Task Force to reimagine New Yorks approach to services for domestic violence survivors.,,,,,,,,,,,Y
13-Jun-20,"The Governor signed legislation suspending the forfeiture of unemployment benefits during the COVID-19 state of emergency, aligning with the Executive Order issued by the Governor on May 14.",,,,,,,,,,,Y
13-Jun-20,The Governor signed legislation repealing criminalization of wearing a mask in public.,,,,,,,,,,,Y
14-Jun-20,The Governor announced low-risk sports for regions in Phase Three of reopening can begin on July 6 with up to two spectators allowed per child.,,Y,,,,,,,,,
14-Jun-20,The Governor announced the state is extending the special open enrollment period in the New York State of Health Plan Marketplace through July 15.,,,,,,,,,,,Y
14-Jun-20,"The Governor reminded bars and restaurants that any violations of reopening rules and guidelines can result in the loss of that establishments liquor license. Additionally, individuals can be fined for open container and social distancing violations.",,,,,,,,,,,Y
14-Jun-20,The Governor signed legislation requiring the State Department of Health to conduct a study on the health impacts of COVID-19 on minorities in New York State.,,,,,,,,,,,Y
15-Jun-20,"The Governor announced gatherings of up to 25 people will be allowed in Phase Three of reopening, up from the limit of 10.",,Y,,,,,,,,,
15-Jun-20,"The Governor announced Western New York has been cleared to enter Phase Three on June 16, and the Capital Region is on track to enter Phase Three on June 17.",,Y,,,,,,,,,
15-Jun-20,"The Governor issued an executive order continuing the declaration of disaster emergency in the counties of Cayuga, Jefferson, Monroe, Niagara, Orleans, Oswego, St. Lawrence, and Wayne.",,,,,,,,,,,Y
16-Jun-20,The Governor directed the State Department of Health to allow midwife-led birthing centers in New York for the first time.,,Y,,,,,,,,,
17-Jun-20,The Governor announced that New York City is on track to enter Phase Two of reopening on June 22.,,Y,,,,,,,,,
17-Jun-20,The Governor announced that the Mid-Hudson Valley is on track to enter Phase Three of reopening on June 23 and Long Island is on track to enter Phase Three of reopening on June 24.,,Y,,,,,,,,,
17-Jun-20,The Governor signed legislation prohibiting health care employers from penalizing employees for making complaints of employer violations.,,,,,,Y,,,,,Y
17-Jun-20,The Governor announced that the New York State Department of Financial Services has reached an agreement with New York’s credit reporting industry to help residents facing hardship caused by COVID-19 to avoid unjustified negative impacts on credit reports.,,,,,,,,,,,Y
19-Jun-20,The Governor announced New York City is cleared to enter Phase Two of reopening on June 22.,,Y,,,,,,,,,
20-Jun-20,"The Governor announced the Yankees and Mets baseball teams will hold spring training in New York this year, while following proper health and safety protocols.",,,,,,,,,,,Y
20-Jun-20,The Governor announced the Mid-Hudson region is on track to enter Phase Three on June 23.,,Y,,,,,,,,,
